,car_model,car_brand,car_doors,car_year,car_odo,car_price
0,Carrera / 911,Porsche,2 door,2022,5000,599000
1,Urus,Lamborghini,4 door,2022,0,1320000
2,Golf R,Volkswagen,4 door,2019,101405,135000
3,GLS-Class,Mercedes-Benz,4 door,2022,0,1150000
4,Continental Flying Spur,Bentley,4 door,2021,2500,1100000
5,G-Class,Mercedes-Benz,4 door,2022,0,1000000
6,Range Rover,Land Rover,4 door,2022,0,1100000
7,Defender,Land Rover,4 door,2022,0,630000
8,G-Class,Mercedes-Benz,4 door,2016,48000,500000
9,G-Class,Mercedes-Benz,4 door,2022,0,1490000
10,765LT,McLaren,2 door,2022,0,2650000
11,Cullinan,Rolls Royce,4 door,2022,0,2390000
12,Huracan,Lamborghini,2 door,2022,0,1750000
13,SF90 Stradale,Ferrari,2 door,2021,0,2350000
14,GX-Series,Lexus,4 door,2010,190000,73000
15,QX70,Infiniti,4 door,2015,150000,58000
16,Prado,Toyota,4 door,2015,183000,102000
17,S-Class,Mercedes-Benz,4 door,2013,173000,60000
18,Patrol,Nissan,4 door,2015,160000,105000
19,Maxima,Nissan,4 door,2016,60000,50000
20,Pajero,Mitsubishi,5+ doors,2017,165000,56500
21,Cayman,Porsche,2 door,2014,181000,110000
22,F-Series Pickup,Ford,4 door,2013,148600,79000
23,G-Class,Mercedes-Benz,4 door,2019,139000,590000
24,Charger,Dodge,4 door,2014,100000,58000
25,Equinox,Chevrolet,4 door,2020,30700,72000
26,S-Class,Mercedes-Maybach,5+ doors,2022,22,1198000
27,G-Class,Mercedes-Benz,4 door,2022,0,1090000
28,CLS-Class,Mercedes-Benz,4 door,2019,65000,235000
29,S7/RS7,Audi,4 door,2015,112000,198000
30,Ghost,Rolls Royce,4 door,2016,59000,595000
31,Challenger,Dodge,2 door,2019,50000,355000
32,Cullinan,Rolls Royce,5+ doors,2021,888,2400000
33,SL-Class,Mercedes-Benz,2 door,2022,0,1069000
34,Cullinan,Rolls Royce,4 door,2022,7000,2699000
35,Wraith,Rolls Royce,2 door,2022,0,1999999
36,Grand Cherokee,Jeep,4 door,2021,17000,159500
37,Continental GT,Bentley,2 door,2022,3000,1599000
38,Roma,Ferrari,2 door,2022,0,1449000
39,Ghost,Rolls Royce,4 door,2022,0,1849000
40,Cayenne,Porsche,5+ doors,2016,36000,200000
41,Levante,Maserati,4 door,2020,14000,289000
42,Range Rover,Land Rover,5+ doors,2018,149000,278000
43,C-Class,Mercedes-Benz,4 door,2022,0,299000
44,CLA,Mercedes-Benz,4 door,2022,0,245000
45,Pajero,Mitsubishi,3 door,2011,93000,27500
46,Grand Cherokee,Jeep,5+ doors,2015,94200,94950
47,GLE Coupe,Mercedes-Benz,5+ doors,2019,22909,324000
48,GLE Coupe,Mercedes-Benz,4 door,2019,41059,305000
49,Golf R,Volkswagen,4 door,2018,143000,109000
50,Camry,Toyota,4 door,2021,50000,123000
51,ID.6,Volkswagen,5+ doors,2022,0,160000
52,Challenger,Dodge,2 door,2017,45000,75000
53,Camaro,Chevrolet,2 door,2019,41000,75000
54,Camaro,Chevrolet,2 door,2018,89000,125000
55,Expedition,Ford,5+ doors,2018,72000,135000
56,S3/RS3,Audi,4 door,2017,139000,98000
57,SLC,Mercedes-Benz,2 door,2018,71000,129000
58,G-Class,Mercedes-Benz,4 door,2022,36,1099000
59,Cullinan,Rolls Royce,4 door,2022,783,3000000
60,Tundra,Toyota,4 door,2022,0,355000
61,Super Duty,Ford,4 door,2020,73000,235000
62,Tundra,Toyota,4 door,2022,0,375000
63,Q7,Audi,5+ doors,2017,116578,119000
64,G-Class,Mercedes-Benz,4 door,2017,91,899000
65,Huracan,Lamborghini,2 door,2022,140,1550000
66,Q7,Audi,5+ doors,2016,100935,95000
67,Grand Cherokee,Jeep,5+ doors,2013,91843,45000
68,Corolla,Toyota,4 door,2020,13487,49000
69,Pajero,Mitsubishi,5+ doors,2016,93111,51000
70,LX600,Lexus,4 door,2022,0,689000
71,Range Rover,Land Rover,4 door,2016,108000,169000
72,ID.4,Volkswagen,4 door,2022,0,142000
73,Patrol,Nissan,4 door,2015,105250,108000
74,ID.6,Volkswagen,5+ doors,2021,0,138000
75,Patrol,Nissan,5+ doors,2014,185000,70000
76,Escalade,Cadillac,5+ doors,2021,2000,439000
77,Range Rover,Land Rover,4 door,2019,44000,349000
78,Boxster,Porsche,2 door,2022,2800,355000
79,Bentayga,Bentley,5+ doors,2019,13000,679000
80,Tucson,Hyundai,5+ doors,2022,0,105000
81,Yaris,Toyota,4 door,2018,109000,39500
82,Mulsanne,Bentley,4 door,2015,35801,459000
83,California T,Ferrari,2 door,2015,37106,465000
84,GLC,Mercedes-Benz,5+ doors,2019,57629,225000
85,X5,BMW,5+ doors,2021,14129,565000
86,Taycan,Porsche,4 door,2021,37300,480000
87,Golf R,Volkswagen,4 door,2019,64328,149000
88,R8,Audi,2 door,2015,67929,259000
89,Macan,Porsche,5+ doors,2015,81066,145000
90,G-Class,Mercedes-Benz,5+ doors,2021,20,1580000
91,G-Class,Mercedes-Benz,5+ doors,2023,75,1150000
92,G-Class,Mercedes-Benz,5+ doors,2022,20,1850000
93,G-Class,Mercedes-Benz,5+ doors,2022,20,1179999
94,Urus,Lamborghini,5+ doors,2021,20,1449999
95,Urus,Lamborghini,5+ doors,2021,20,1549999
96,Urus,Lamborghini,5+ doors,2021,20,1549999
97,Defender,Land Rover,5+ doors,2022,36,470000
98,Defender,Land Rover,5+ doors,2022,30,475000
99,Defender,Land Rover,5+ doors,2022,20,480000
100,Range Rover,Land Rover,5+ doors,2021,20,659999
101,X5,BMW,4 door,2011,162000,36000
102,C-Class,Mercedes-Benz,4 door,2009,248000,21000
103,X5,BMW,5+ doors,2019,75476,253000
104,Huracan,Lamborghini,2 door,2021,18122,915000
105,Land Cruiser,Toyota,4 door,2022,0,360000
106,GT-R,Nissan,2 door,2020,56560,469000
107,Wrangler,Jeep,3 door,2020,19000,169990
108,i8,BMW,2 door,2015,88389,265000
109,4-Series,BMW,2 door,2017,63125,155000
110,Continental GT,Bentley,2 door,2013,30830,233000
111,Model Y,Tesla,5+ doors,2022,0,310000
112,S5/RS5,Audi,4 door,2017,69948,155000
113,R8,Audi,2 door,2009,68056,140000
114,Model 3,Tesla,4 door,2020,76575,209000
115,Model S,Tesla,4 door,2017,68616,199000
116,540C,McLaren,2 door,2017,20522,459000
117,Wraith,Rolls Royce,2 door,2015,58865,679000
118,Cayenne,Porsche,5+ doors,2020,52307,525000
119,Continental GT,Bentley,2 door,2013,89454,210000
120,Grand Cherokee,Jeep,5+ doors,2020,19514,165000
121,Expedition,Ford,4 door,2018,167333,99500
122,Tahoe,Chevrolet,4 door,2017,172943,96500
123,Explorer,Ford,4 door,2017,101715,92500
124,Explorer,Ford,4 door,2016,83101,83800
125,Explorer,Ford,4 door,2017,107673,99500
126,Edge,Ford,4 door,2016,200287,68800
127,Edge,Ford,4 door,2018,46947,84900
128,Edge,Ford,4 door,2016,142890,73500
129,Edge,Ford,4 door,2013,86791,42500
130,Ecosport,Ford,4 door,2014,177729,33900
131,Maxima,Nissan,4 door,2018,105853,77600
132,Focus,Ford,4 door,2018,92481,44900
133,Figo,Ford,4 door,2020,89993,35900
134,Sunny,Nissan,4 door,2019,157075,29900
135,Transit,Ford,3 door,2019,10285,69900
136,Other,Isuzu,2 door,2017,102813,74900
137,Escalade,Cadillac,5+ doors,2021,50839,435000
138,GLS-Class,Mercedes-Benz,4 door,2022,66,1199000
139,Koleos,Renault,5+ doors,2019,25000,79990
140,Forester,Subaru,5+ doors,2016,97858,44000
141,Urvan,Nissan,4 door,2021,4102,75000
142,M4,BMW,2 door,2022,4748,504000
143,7-Series,BMW,4 door,2022,18393,456000
144,4-Series,BMW,4 door,2019,41564,170000
145,Countryman,MINI,5+ doors,2021,8088,170000
146,3-Series,BMW,4 door,2021,14946,215000
147,7-Series,BMW,4 door,2022,3172,384000
148,X5,BMW,5+ doors,2022,21193,450000
149,Mustang,Ford,2 door,2021,3000,115000
150,Land Cruiser,Toyota,4 door,2012,395000,79000
151,7-Series,BMW,4 door,2020,54864,249000
152,Patrol,Nissan,5+ doors,2020,54151,262000
153,Patrol,Nissan,5+ doors,2020,37180,266000
154,Patrol,Nissan,5+ doors,2022,300,295000
155,LX-Series,Lexus,5+ doors,2018,88690,319000
156,GLC 63,Mercedes-Benz,5+ doors,2021,23874,385000
157,Cullinan,Rolls Royce,5+ doors,2022,600,2690000
158,Cullinan,Rolls Royce,2 door,2022,600,2450000
159,Cullinan,Rolls Royce,5+ doors,2022,100,2150000
160,Cullinan,Rolls Royce,5+ doors,2020,25000,2090000
161,Cullinan,Rolls Royce,5+ doors,2021,4000,2290000
162,Cullinan,Rolls Royce,5+ doors,2022,500,2690000
163,Ghost,Rolls Royce,4 door,2022,500,1899000
164,X6,BMW,4 door,2022,0,605000
165,Phantom,Rolls Royce,5+ doors,2022,500,2790000
166,Range Rover Sport,Land Rover,5+ doors,2022,100,699000
167,GLS-Class,Mercedes-Benz,5+ doors,2021,2000,995000
168,Range Rover,Land Rover,4 door,2022,54,950000
169,Defender,Land Rover,5+ doors,2023,100,699000
170,Urus,Lamborghini,2 door,2022,3000,1690000
171,Urus,Lamborghini,5+ doors,2021,11000,2090000
172,Aventador,Lamborghini,2 door,2020,5000,2690000
173,Huracan,Lamborghini,2 door,2022,1000,1499000
174,SF90 Stradale,Ferrari,2 door,2022,500,2790000
175,Continental Flying Spur,Bentley,4 door,2021,15000,1050000
176,Escalade,Cadillac,5+ doors,2018,26000,259000
177,Macan,Porsche,5+ doors,2017,92000,199000
178,Range Rover Velar,Land Rover,4 door,2018,53000,279000
179,GLS-Class,Mercedes-Benz,5+ doors,2022,0,1150000
180,G-Class,Mercedes-Benz,4 door,2022,0,1045000
181,Patrol,Nissan,5+ doors,2021,63000,123000
182,Patrol,Nissan,4 door,2021,29000,279000
183,LX600,Lexus,5+ doors,2022,0,695000
184,Cullinan,Rolls Royce,4 door,2022,1000,2299000
185,Continental,Bentley,2 door,2019,30000,835000
186,LX600,Lexus,5+ doors,2022,0,815000
187,QX60,Infiniti,5+ doors,2022,1721,279000
188,Range Rover,Land Rover,4 door,2022,51,950000
189,Wrangler Unlimited,Jeep,4 door,2021,23000,198000
190,Bentayga,Bentley,5+ doors,2019,39294,690000
191,Continental GT,Bentley,2 door,2015,43301,355000
192,Continental GT,Bentley,2 door,2019,20000,829000
193,Pathfinder,Nissan,4 door,2019,60000,88000
194,Land Cruiser,Toyota,4 door,2021,20000,237000
195,Patrol,Nissan,4 door,2018,110000,127000
196,Patrol,Nissan,4 door,2012,142000,59000
197,GLS-Class,Mercedes-Benz,4 door,2022,29,1199000
198,Cayenne,Porsche,4 door,2022,0,1090000
199,Grand Cherokee,Jeep,4 door,2015,124425,115000
200,Grand Cherokee,Jeep,4 door,2012,140463,89000
201,Continental,Bentley,2 door,2013,66853,249000
202,Cullinan,Rolls Royce,4 door,2022,500,2450000
203,Ghost,Rolls Royce,4 door,2022,350,1899000
204,GLE Coupe,Mercedes-Benz,4 door,2022,486,679000
205,Cullinan,Rolls Royce,4 door,2022,505,2499000
206,Range Rover Sport,Land Rover,4 door,2022,27,699000
207,GLS-Class,Mercedes-Benz,4 door,2021,50,1049000
208,X5,BMW,5+ doors,2019,71000,235000
209,GLE-Class,Mercedes-Benz,4 door,2016,60000,144000
210,G-Class,Mercedes-Benz,4 door,2022,0,935000
211,GLA,Mercedes-Benz,2 door,2019,45000,87000
212,LX600,Lexus,5+ doors,2022,0,595000
213,Pajero,Mitsubishi,4 door,2014,113000,43500
214,Wrangler Unlimited,Jeep,3 door,2018,30878,142900
215,3008 GT LINE,Peugeot,5+ doors,2018,63401,94900
216,S-Class,Mercedes-Benz,2 door,2015,111000,218000
217,Camaro,Chevrolet,2 door,2019,136000,178000
218,M6,BMW,4 door,2014,109000,122000
219,GIULIETTA,Alfa Romeo,5+ doors,2018,21557,86900
220,6,Mazda,4 door,2019,48012,71900
221,Urus,Lamborghini,5+ doors,2019,74753,939000
222,Range Rover,Land Rover,5+ doors,2017,68000,247900
223,Yukon,GMC,5+ doors,2021,16259,294900
224,GLC,Mercedes-Benz,5+ doors,2019,39394,248900
225,X3,BMW,5+ doors,2018,108000,184900
226,CLA,Mercedes-Benz,4 door,2018,129621,111900
227,GLE Coupe,Mercedes-Benz,5+ doors,2018,54092,264900
228,Patrol,Nissan,5+ doors,2020,47762,225900
229,S3/RS3,Audi,4 door,2016,119160,88900
230,A7,Audi,4 door,2019,51543,258900
231,Land Cruiser,Toyota,5+ doors,2018,123000,219900
232,Macan,Porsche,5+ doors,2018,64674,199900
233,A6,Audi,4 door,2019,76306,187900
234,Panamera,Porsche,4 door,2017,44517,315900
235,Levante,Maserati,5+ doors,2019,26658,300900
236,C-Class,Mercedes-Benz,4 door,2019,54832,169900
237,Cayenne,Porsche,5+ doors,2022,14607,407900
238,Range Rover Sport,Land Rover,5+ doors,2019,45125,345900
239,GLC,Mercedes-Benz,5+ doors,2020,27242,219900
240,A8,Audi,4 door,2019,51713,255900
241,7-Series,BMW,4 door,2016,50686,162900
242,Ghibli,Maserati,4 door,2017,45000,146900
243,Corvette,Chevrolet,2 door,2015,96841,150900
244,Boxster,Porsche,2 door,2015,60000,211900
245,GLE-Class,Mercedes-Benz,5+ doors,2019,52000,265900
246,Escalade,Cadillac,5+ doors,2018,96853,192900
247,E-Class,Mercedes-Benz,4 door,2019,18394,301900
248,GX-Series,Lexus,5+ doors,2021,16641,244900
249,TT,Audi,2 door,2016,112461,97900
250,GL-Class,Mercedes-Benz,5+ doors,2015,95134,121900
251,S8,Audi,4 door,2020,9249,479000
252,Cullinan,Rolls Royce,5+ doors,2022,0,2499000
253,Patrol,Nissan,4 door,2021,7000,295000
254,Edge,Ford,5+ doors,2016,57851,102900
255,Outlander,Mitsubishi,5+ doors,2019,68683,68900
256,Sportage,Kia,5+ doors,2020,28519,80900
257,S7/RS7,Audi,5+ doors,2015,71316,206900
258,7-Series,BMW,4 door,2019,36140,218900
259,Sierra,GMC,4 door,2021,25453,209900
260,Quattroporte,Maserati,4 door,2015,77842,116900
261,Durango,Dodge,5+ doors,2019,51229,128900
262,Compass,Jeep,5+ doors,2018,117322,73550
263,Mustang,Ford,2 door,2018,35619,157900
264,X-Trail,Nissan,5+ doors,2019,65718,83900
265,CX-9,Mazda,5+ doors,2018,72789,104900
266,GLE-Class,Mercedes-Benz,5+ doors,2020,44256,330900
267,M5,BMW,4 door,2018,53196,326900
268,X7,BMW,5+ doors,2019,42787,334900
269,Q5,Audi,5+ doors,2018,38768,171700
270,Accord,Honda,2 door,2015,173500,39500
271,Sunny,Nissan,4 door,2017,112000,27000
272,Patrol,Nissan,4 door,2022,0,239000
273,Cullinan,Rolls Royce,4 door,2022,69,2599000
274,Patrol,Nissan,4 door,2021,0,239000
275,Patrol,Nissan,4 door,2021,0,255000
276,Urus,Lamborghini,4 door,2021,37000,1228000
277,Urus,Lamborghini,4 door,2022,0,1488000
278,Patrol,Nissan,4 door,2022,0,289000
279,Patrol,Nissan,4 door,2021,0,303000
280,Expedition,Ford,5+ doors,2016,96400,99750
281,Explorer,Ford,5+ doors,2019,71550,112000
282,Cullinan,Rolls Royce,4 door,2021,1011,2499000
283,Phantom,Rolls Royce,2 door,2008,38000,725000
284,Dawn,Rolls Royce,2 door,2017,15002,1050000
285,Cullinan,Rolls Royce,4 door,2022,510,2999000
286,Continental GT,Bentley,2 door,2019,29000,850000
287,SF90 Stradale,Ferrari,2 door,2021,752,2499000
288,Jimny,Suzuki,3 door,2021,14370,80000
289,GLE Coupe,Mercedes-Benz,4 door,2017,141000,210000
290,Wraith,Rolls Royce,2 door,2015,39800,790000
291,Range Rover Sport,Land Rover,5+ doors,2021,15000,525000
292,G-Class,Mercedes-Benz,4 door,2022,0,1698000
293,Defender,Land Rover,2 door,2021,1000,428000
294,Carrera / 911,Porsche,2 door,2022,0,648000
295,Cayenne,Porsche,4 door,2022,0,948000
296,GLE Coupe,Mercedes-Benz,5+ doors,2019,36651,309900
297,Wrangler,Jeep,5+ doors,2018,44652,114000
298,GL-Class,Mercedes-Benz,5+ doors,2015,91771,119900
299,Range Rover,Land Rover,4 door,2022,51,499000
300,S-Class,Mercedes-Benz,4 door,2021,65,679000
301,GLS-Class,Mercedes-Benz,4 door,2021,1757,1059000
302,X7,BMW,4 door,2022,8,429000
303,Defender,Land Rover,4 door,2023,11,599000
304,Maxima,Nissan,4 door,2020,99000,98000
305,Patrol,Nissan,4 door,2013,146000,87000
306,Carrera / 911,Porsche,2 door,2013,147000,195000
307,C-Class,Mercedes-Benz,5+ doors,2022,0,290000
308,Range Rover,Land Rover,5+ doors,2022,0,1095000
309,Range Rover Evoque,Land Rover,5+ doors,2022,0,285000
310,CLA,Mercedes-Benz,4 door,2022,0,245000
311,LX600,Lexus,5+ doors,2022,0,760000
312,Escalade,Cadillac,5+ doors,2022,0,545000
313,C-Class,Mercedes-Benz,4 door,2022,0,330000
314,Symbol,Renault,4 door,2017,150000,18000
315,F-Series Pickup,Ford,5+ doors,2022,90,479000
316,Cayenne,Porsche,5+ doors,2022,30,479000
317,G-Class,Mercedes-Benz,4 door,2022,0,1025000
318,Defender,Land Rover,5+ doors,2023,0,620000
319,G-Class,Mercedes-Benz,5+ doors,2021,0,1700000
320,GLC,Mercedes-Benz,4 door,2022,0,339000
321,Pathfinder,Nissan,4 door,2014,112000,40000
322,Cayenne,Porsche,4 door,2016,87000,111000
323,Range Rover,Land Rover,5+ doors,2014,109200,210000
324,Patrol,Nissan,5+ doors,2017,108000,119950
325,DBX,Aston Martin,4 door,2021,386,949000
326,X5,BMW,5+ doors,2022,6036,454000
327,6-Series,BMW,4 door,2015,68784,99000
328,Supra,Toyota,2 door,2021,34000,180000
329,Range Rover Velar,Land Rover,4 door,2020,67000,264900
330,GLE Coupe,Mercedes-Benz,4 door,2022,488,679000
331,Range Rover,Land Rover,4 door,2022,1522,1000000
332,Yukon,GMC,5+ doors,2019,90000,179000
333,X5,BMW,4 door,2018,98000,179900
334,Wrangler Unlimited,Jeep,4 door,2021,0,217000
335,Wrangler Unlimited,Jeep,4 door,2022,0,264500
336,Crafter,Volkswagen,2 door,2021,22,154500
337,570S,McLaren,2 door,2017,62496,529000
338,G-Class,Mercedes-Benz,5+ doors,2019,29126,710000
339,Qashqai,Nissan,4 door,2012,130000,24000
340,GT,Mercedes-Benz,4 door,2022,100,490890
341,Pajero,Mitsubishi,5+ doors,2010,172000,26000
342,Yaris,Toyota,4 door,2008,163000,18000
343,CX-7,Mazda,4 door,2010,120200,24500
344,G-Class,Mercedes-Benz,4 door,2022,6553,1599000
345,G-Class,Mercedes-Benz,5+ doors,2022,103,1799000
346,Cayenne,Porsche,4 door,2013,146000,69500
347,Range Rover Sport,Land Rover,4 door,2017,108000,234000
348,GLE Coupe,Mercedes-Benz,4 door,2022,3900,469000
349,Patrol,Nissan,4 door,2021,25000,234999
350,LX-Series,Lexus,4 door,2019,43000,329000
351,GLC,Mercedes-Benz,4 door,2019,23000,240000
352,Grand Cherokee,Jeep,4 door,2013,188000,34500
353,Prado,Toyota,4 door,2018,76000,133000
354,Macan,Porsche,3 door,2018,65125,249000
355,Cullinan,Rolls Royce,4 door,2019,31838,1659000
356,GLS-Class,Mercedes-Benz,4 door,2021,23767,999000
357,Defender,Land Rover,2 door,2022,9500,899000
358,Defender,Land Rover,2 door,2023,49,599000
359,Prado,Toyota,4 door,2008,185000,42000
360,Vantage,Aston Martin,2 door,2016,25000,249500
361,Land Cruiser,Toyota,5+ doors,2022,0,465000
362,Ghost,Rolls Royce,4 door,2017,47000,720000
363,G-Class,Mercedes-Benz,4 door,2022,0,1000000
364,Range Rover Sport,Land Rover,5+ doors,2019,75000,340000
365,Huracan,Lamborghini,2 door,2022,0,1765000
366,F8 Tributo,Ferrari,2 door,2020,5000,1180000
367,Huracan,Lamborghini,2 door,2022,0,1395000
368,S-Class,Mercedes-Benz,4 door,2014,61000,195000
369,M-Class,Mercedes-Benz,5+ doors,2014,44000,95000
370,S-Class,Mercedes-Benz,4 door,2015,54000,155000
371,S-Class,Mercedes-Benz,4 door,2014,41000,175000
372,S-Class,Mercedes-Benz,4 door,2014,27000,175000
373,S-Class Coupe,Mercedes-Benz,2 door,2016,50000,265000
374,X5,BMW,4 door,2016,148000,99000
375,Sentra,Nissan,4 door,2020,53000,45000
376,CT5,Cadillac,4 door,2021,34093,199900
377,XT5,Cadillac,4 door,2021,18581,195900
378,Wrangler,Jeep,2 door,2017,57000,116900
379,7-Series,BMW,4 door,2020,46000,315000
380,Range Rover Sport,Land Rover,4 door,2020,36000,325000
381,Sierra,GMC,4 door,2021,18505,209900
382,Yukon,GMC,5+ doors,2020,93000,181900
383,S-Class Coupe,Mercedes-Benz,2 door,2015,56100,298000
384,Hiace,Toyota,3 door,2017,291837,72500
385,Touareg,Volkswagen,5+ doors,2017,27000,109900
386,Range Rover,Land Rover,4 door,2021,43679,410000
387,Range Rover Evoque,Land Rover,4 door,2020,26884,190000
388,Range Rover Sport,Land Rover,4 door,2022,31022,365000
389,Range Rover Sport,Land Rover,4 door,2021,44572,395000
390,Range Rover,Land Rover,4 door,2022,3802,465000
391,Range Rover Sport,Land Rover,4 door,2020,49138,299000
392,Ghost,Rolls Royce,4 door,2022,500,1899000
393,Urus,Lamborghini,4 door,2019,36691,1050000
394,Urus,Lamborghini,4 door,2020,21918,1190000
395,S-Class,Mercedes-Benz,4 door,2018,13000,679000
396,Carrera / 911,Porsche,2 door,2021,25000,540000
397,R8,Audi,2 door,2017,54000,459000
398,E-Class,Mercedes-Benz,4 door,2018,155000,149000
399,Patrol,Nissan,4 door,2022,0,375000
400,GT,Mercedes-Benz,2 door,2021,0,2099000
401,EQS,Mercedes-Benz,4 door,2022,0,649000
402,G-Class,Mercedes-Benz,4 door,2022,0,1619000
403,Mulsanne,Bentley,4 door,2017,21600,829000
404,S-Class,Mercedes-Benz,4 door,2014,132563,129999
405,C-Class,Mercedes-Benz,4 door,2016,138000,80000
406,4-Series,BMW,4 door,2016,159000,72000
407,GLE Coupe,Mercedes-Benz,4 door,2016,67061,265000
408,Camaro,Chevrolet,2 door,2015,70000,75000
409,Super Duty,Ford,4 door,2020,60091,265000
410,Range Rover Sport,Land Rover,4 door,2022,10766,485000
411,Q8,Audi,4 door,2020,5320,305000
412,GLA,Mercedes-Benz,5+ doors,2019,27980,199500
413,Boxster,Porsche,2 door,2016,82000,185000
414,Range Rover Sport,Land Rover,4 door,2020,45366,285000
415,Escalade,Cadillac,5+ doors,2018,30000,229000
416,Ram,Dodge,4 door,2022,23209,225000
417,Range Rover Evoque,Land Rover,4 door,2017,110000,119000
418,Edge,Ford,5+ doors,2022,7000,174000
419,Range Rover Sport,Land Rover,4 door,2020,43421,445000
420,CLA,Mercedes-Benz,4 door,2019,12000,87000
421,Range Rover Sport,Land Rover,4 door,2022,8020,370000
422,Range Rover,Land Rover,4 door,2022,4400,425000
423,Wrangler Unlimited,Jeep,4 door,2021,14000,200000
424,Range Rover Sport,Land Rover,4 door,2022,14890,355000
425,E-Class,Mercedes-Benz,3 door,2022,0,365000
426,DBX,Aston Martin,4 door,2021,11000,799000
427,E-Class Coupe,Mercedes-Benz,3 door,2022,0,365000
428,G-Class,Mercedes-Benz,5+ doors,2016,63585,333000
429,G-Class,Mercedes-Benz,5+ doors,2012,162000,137000
430,Land Cruiser,Toyota,5+ doors,2013,265000,83000
431,F-Series Pickup,Ford,4 door,2020,25000,250000
432,Range Rover Sport,Land Rover,4 door,2019,52610,339000
433,Range Rover Velar,Land Rover,4 door,2020,8000,349000
434,Bronco,Ford,4 door,2021,3000,265000
435,Escalade,Cadillac,5+ doors,2018,66000,207000
436,Traverse,Chevrolet,5+ doors,2014,183464,25000
437,GLC 63,Mercedes-Benz,5+ doors,2019,38800,312000
438,Montero Sport,Mitsubishi,4 door,2019,21600,115000
439,Beetle,Volkswagen,2 door,2018,62100,72000
440,Pajero,Mitsubishi,4 door,2019,58800,89000
441,Rav 4,Toyota,4 door,2021,39600,109000
442,S3/RS3,Audi,4 door,2018,65800,209000
443,C-Class,Mercedes-Benz,2 door,2018,67000,199000
444,Prado,Toyota,5+ doors,2020,73234,155000
445,Fiat-500,Fiat,2 door,2022,0,58000
446,GLE Coupe,Mercedes-Benz,4 door,2022,16,549000
447,F-Series Pickup,Ford,2 door,2017,48957,119500
448,Cullinan,Rolls Royce,4 door,2021,2765,2280000
449,Carrera / 911,Porsche,2 door,2022,0,920000
450,Land Crusier 70,Toyota,4 door,2022,0,409000
451,S-Class,Mercedes-Benz,4 door,2022,0,659000
452,Carrera / 911,Porsche,2 door,2022,67,829000
453,Carrera / 911,Porsche,2 door,2019,28992,709000
454,S-Class,Mercedes-Benz,2 door,2015,56073,298000
455,Rav 4,Toyota,4 door,2022,0,111000
456,Defender,Land Rover,5+ doors,2022,9000,485000
457,Range Rover Sport,Land Rover,4 door,2013,136000,69000
458,CLA,Mercedes-Benz,4 door,2022,0,195000
459,Aventador,Lamborghini,2 door,2020,2557,2749000
460,Range Rover,Land Rover,4 door,2014,149000,129000
461,Dawn,Rolls Royce,2 door,2017,49741,1160000
462,Cayenne,Porsche,4 door,2020,91346,399000
463,E-Class,Mercedes-Benz,4 door,2021,0,252000
464,Macan,Porsche,4 door,2018,71000,225000
465,AMG,Mercedes-Benz,2 door,2021,50,1980000
466,Hilux,Toyota,4 door,2022,0,116000
467,Santa Fe,Hyundai,5+ doors,2017,120000,37900
468,Escalade,Cadillac,4 door,2022,0,525000
469,488,Ferrari,2 door,2016,15000,749000
470,G-Class,Mercedes-Benz,4 door,2020,62000,949000
471,G-Class,Mercedes-Benz,5+ doors,2021,15000,720000
472,Continental GT,Bentley,2 door,2012,17000,245000
473,Vanquish,Aston Martin,2 door,2007,35930,399000
474,Pajero,Mitsubishi,5+ doors,2019,29800,64500
475,Sierra,GMC,4 door,2020,64000,164000
476,F8 Tributo,Ferrari,2 door,2022,4000,1550000
477,Cayenne,Porsche,4 door,2020,75434,499000
478,C-Class,Mercedes-Benz,5+ doors,2022,1,311000
479,Escalade,Cadillac,4 door,2015,145000,109000
480,Range Rover Sport,Land Rover,4 door,2014,130000,138000
481,720S,McLaren,2 door,2021,855,1250000
482,G-Class,Mercedes-Benz,4 door,2021,0,1358000
483,Cullinan,Rolls Royce,4 door,2020,25704,2100000
484,G-Class,Mercedes-Benz,4 door,2022,47,1100000
485,G-Class,Mercedes-Benz,4 door,2021,18959,1349000
486,F-Series Pickup,Ford,4 door,2020,4551,155000
487,Aventador,Lamborghini,2 door,2017,32223,1449000
488,AMG GT 4 doors,Mercedes-Benz,4 door,2022,0,510000
489,Range Rover,Land Rover,4 door,2015,132000,155000
490,GLE-Class,Mercedes-Benz,4 door,2022,0,550000
491,GLE-Class,Mercedes-Benz,4 door,2022,0,550000
492,Wrangler Unlimited,Jeep,4 door,2020,34506,199000
493,S-Class,Mercedes-Benz,4 door,2021,7013,649000
494,Defender,Land Rover,5+ doors,2022,0,475000
495,LX600,Lexus,4 door,2022,113,679000
496,G-Class,Mercedes-Benz,4 door,2022,0,1900000
497,Cayenne,Porsche,4 door,2019,83355,439000
498,Continental GT,Bentley,2 door,2019,92000,689000
499,Carrera / 911,Porsche,2 door,2022,686,799000
500,S-Class,Mercedes-Benz,2 door,2018,35000,393000
501,Defender,Land Rover,2 door,2023,0,718000
502,Other,McLaren,2 door,2021,163,2699000
503,Macan,Porsche,4 door,2015,52944,179000
504,TT,Audi,2 door,2016,101000,64500
505,Carrera / 911,Porsche,2 door,2020,27188,499000
506,Carrera / 911,Porsche,2 door,2018,26876,529000
507,Carrera / 911,Porsche,2 door,2017,44051,469000
