,car_model,car_brand,car_doors,car_year,car_odo,car_price
1417,A6,Audi,4 door,2015,169000,49900
1418,Trax,Chevrolet,4 door,2019,39000,47900
1419,Accord,Honda,5+ doors,2012,217000,25900
1420,Koleos,Renault,4 door,2018,135000,55000
1421,GLE-Class,Mercedes-Benz,5+ doors,2022,100,409000
1422,Range Rover Evoque,Land Rover,4 door,2013,124000,71000
1423,Aveo,Chevrolet,4 door,2019,76000,25000
1424,Land Cruiser,Toyota,4 door,2022,0,335000
1425,G-Class,Mercedes-Benz,5+ doors,2016,33393,589000
1426,Outlander,Mitsubishi,4 door,2017,78000,44000
1427,GX-Series,Lexus,5+ doors,2017,100092,146000
1428,Altima,Nissan,4 door,2016,85336,28500
1429,Elantra,Hyundai,4 door,2016,89633,26500
1430,Captur,Renault,5+ doors,2016,96366,24500
1431,Range Rover Evoque,Land Rover,5+ doors,2015,127388,80000
1432,GLS-Class,Mercedes-Benz,4 door,2022,0,830000
1433,Captur,Renault,4 door,2016,110000,24000
1434,Duster,Renault,4 door,2017,92000,23000
1435,Montero Sport,Mitsubishi,4 door,2012,145000,21000
1436,Terios,Daihatsu,4 door,2016,73000,35000
1437,Elantra,Hyundai,4 door,2016,79000,26000
1438,Sunny,Nissan,4 door,2018,76000,27000
1439,Vitara,Suzuki,4 door,2016,141000,35000
1440,Cruze,Chevrolet,4 door,2017,98000,23000
1441,Santa Fe,Hyundai,4 door,2018,72000,58000
1442,X6,BMW,4 door,2012,146000,46000
1443,Sentra,Nissan,4 door,2016,78000,26000
1444,Ertiga,Suzuki,4 door,2020,61000,44000
1445,Rav 4,Toyota,4 door,2018,72000,64000
1446,Escape,Ford,4 door,2017,117000,35000
1447,L200,Mitsubishi,4 door,2018,85000,39000
1448,CLA,Mercedes-Benz,4 door,2023,0,325000
1449,G-Class,Mercedes-Benz,4 door,2022,0,1045000
1450,Duster,Renault,4 door,2017,92000,23000
1451,Montero Sport,Mitsubishi,4 door,2012,145000,21000
1452,Terios,Daihatsu,4 door,2016,73000,35000
1453,Elantra,Hyundai,4 door,2016,79000,26000
1454,Sunny,Nissan,4 door,2018,76000,27000
1455,Vitara,Suzuki,4 door,2016,141000,35000
1456,Cruze,Chevrolet,4 door,2017,98000,23000
1457,Santa Fe,Hyundai,4 door,2018,72000,58000
1458,X6,BMW,4 door,2012,146000,46000
1459,Sentra,Nissan,4 door,2016,78000,26000
1460,Ertiga,Suzuki,4 door,2020,61000,44000
1461,Rav 4,Toyota,4 door,2018,72000,64000
1462,Escape,Ford,4 door,2017,117000,35000
1463,L200,Mitsubishi,4 door,2018,85000,39000
1464,CLA,Mercedes-Benz,4 door,2023,0,325000
1465,G-Class,Mercedes-Benz,4 door,2022,0,1045000
1466,CLS-Class,Mercedes-Benz,4 door,2022,0,375000
1467,Bentayga,Bentley,5+ doors,2018,85246,525000
1468,Range Rover Velar,Land Rover,5+ doors,2020,101844,239000
1469,Defender,Land Rover,2 door,2022,27000,418000
1470,A8,Audi,4 door,2013,210320,58000
1471,QX50,Infiniti,5+ doors,2015,98941,55000
1472,Range Rover Evoque,Land Rover,4 door,2023,0,2950000
1473,Land Cruiser,Toyota,5+ doors,2011,230000,89000
1474,Range Rover Sport,Land Rover,5+ doors,2017,142310,189000
1475,Range Rover Sport,Land Rover,5+ doors,2017,142310,189000
1476,Aveo,Chevrolet,4 door,2018,110000,25000
1477,G-Class,Mercedes-Benz,5+ doors,2021,34845,830000
1478,Silverado,Chevrolet,4 door,2021,28000,116500
1479,Camry,Toyota,4 door,2011,211396,18000
1480,X5,BMW,5+ doors,2007,200000,16000
1481,Pathfinder,Nissan,4 door,2019,99000,99000
1482,Patrol,Nissan,4 door,2021,32618,259000
1483,S-Class,Mercedes-Benz,4 door,2010,143902,44000
1484,Range Rover Evoque,Land Rover,5+ doors,2014,160000,75000
1485,Accord,Honda,4 door,2009,256826,19500
1486,GTI,Volkswagen,4 door,2011,200000,24000
1487,Ram,Dodge,4 door,2013,225000,43000
1488,7-Series,BMW,4 door,2016,102000,165000
1489,XT6,Cadillac,4 door,2022,0,205000
1490,S-Class,Mercedes-Benz,4 door,2018,61000,290000
1491,Mustang,Ford,2 door,2019,21500,86500
1492,K5,Kia,4 door,2021,13000,78500
1493,S-Class,Mercedes-Benz,4 door,2018,7000,312000
1494,Grand Cherokee,Jeep,4 door,2020,49000,155000
1495,Sentra,Nissan,4 door,2021,14000,53000
1496,Civic,Honda,4 door,2020,28000,50500
1497,3-Series,BMW,4 door,2020,37000,130000
1498,S-Class Coupe,Mercedes-Benz,2 door,2017,77000,247000
1499,GLE Coupe,Mercedes-Benz,4 door,2017,14000,243000
1500,Tiida,Nissan,5+ doors,2011,145000,21000
1501,Sienna,Toyota,5+ doors,2007,230000,12500
1502,Range Rover Sport,Land Rover,4 door,2014,126304,149500
1503,Altima,Nissan,4 door,2013,123000,15500
1504,Montero Sport,Mitsubishi,5+ doors,2017,59000,63500
1505,Cruze,Chevrolet,4 door,2016,117000,24000
1506,Sorento,Kia,5+ doors,2014,132000,34000
1507,M-Class,Mercedes-Benz,5+ doors,2013,126000,50001
1508,Tahoe,Chevrolet,4 door,2009,405000,43000
1509,Pathfinder,Nissan,5+ doors,2017,74000,55000
1510,Micra,Nissan,4 door,2015,175000,17500
1511,Sonata,Hyundai,4 door,2017,56000,35000
1512,GTI,Volkswagen,4 door,2016,90023,75000
1513,Panamera,Porsche,4 door,2013,118000,149000
1514,X5,BMW,4 door,2012,160000,41500
1515,Mustang,Ford,2 door,2006,178000,28000
1516,Charger,Dodge,4 door,2013,165000,34000
1517,LR3,Land Rover,4 door,2009,145000,24000
1518,Expedition,Ford,4 door,2012,210113,20000
1519,FJ Cruiser,Toyota,3 door,2019,62000,145000
1520,Focus,Ford,4 door,2018,85000,45000
1521,7-Series,BMW,4 door,2014,96000,60000
1522,S-Class,Mercedes-Benz,4 door,2022,22,695000
1523,8-Series,BMW,2 door,2021,10000,489000
1524,GT,Mercedes-Benz,2 door,2018,10000,499000
1525,Viano,Mercedes-Benz,4 door,2019,15000,400000
1526,Cullinan,Rolls Royce,4 door,2019,13000,1620000
1527,IS-Series,Lexus,4 door,2006,182000,21500
1528,Pathfinder,Nissan,5+ doors,2018,122000,85000
1529,Land Cruiser,Toyota,5+ doors,2013,178000,105000
1530,F-Series Pickup,Ford,4 door,2011,140000,29000
1531,Koleos,Renault,4 door,2017,140000,49000
1532,Renegade,Jeep,5+ doors,2021,15223,60000
1533,Altima,Nissan,4 door,2020,45000,56500
1534,Sentra,Nissan,4 door,2013,135810,18500
1535,Outlander,Mitsubishi,4 door,2020,35000,59000
1536,Tiguan,Volkswagen,4 door,2021,50000,66500
1537,Sportage,Kia,4 door,2019,47000,66000
1538,Compass,Jeep,4 door,2020,43000,58000
1539,Jetta,Volkswagen,4 door,2017,96000,36000
